Albacore tuna Global,Americas,Trolling lines,32746,,15629,,23914,,15745,,12246,,13264,,18768,,21173,,14929,,21202,,20105,,12059,,19753,,25145,,18391,,16557,,15377,,17975,,21462,,20192,,21422,,22272,,27521,,17053,,21509,,19043,,16183,,10022,,16636,,7302,,7768,,12837,,6713,,9584,,9354,,6471,,4840,,3754,,8262,,5912,,7034,,7117,,8126,,8008,,15488,,11952,,22615,,18579,,20389,,14293,,16894,,18508,,16890,,22467,,22304,,13786,,19065,,18318,,16320,,16536,,17074,
Albacore tuna Global,Asia,Gear not known,0,-,0,-,237,,132,,38,,136,,57,,151,,124,,67,,76,,268,,191,,218,,319,,121,,585,,520,,1109,,959,,517,,359,,645,,569,,1128,,409,,1355,,1058,,6123,,4011,,4179,,11071,,13235,,7367,,11603,,14836,,29305,,25163,,37368,,49852,,59444,,18445,,15035,,1187,,1097,,389,,286,,534,,352,,441,,295,,230,,538,,292,,158,,593,,634,,631,,2603,,2021,,1789,
Albacore tuna Global,Asia,Longlines (nei),16713,,11384,,26902,,29674,,33359,,28238,,27250,,35988,,46362,,48932,,61555,,67124,,92201,,88631,,97549,,95949,,113517,,120228,,106959,,106243,,106083,,107494,,116513,,128401,,110146,,77521,,101952,,107573,,99087,,90953,,88641,,94635,,106759,,86013,,77462,,87595,,108317,,88892,,79631,,60626,,64612,,79620,,88114,,98193,,106744,,95933,,97318,,102427,,110977,,108541,,104216,,113011,,108706,,103238,,98580,,94619,,90773,,99895,,101886,,108823,,114539,
Albacore tuna Global,Asia,Mechanized lines and pole-and-lines,12863,,14500,,41787,,32921,,28069,,24236,,42810,,49500,,22175,,14252,,25201,,18639,,8729,,26436,,23880,,41491,,22830,,30481,,16635,,31912,,24263,,52957,,60591,,68808,,73576,,52157,,85336,,31999,,59920,,44662,,46856,,27426,,29615,,21098,,26015,,20714,,16096,,19091,,6216,,8629,,8532,,7103,,13888,,12809,,26391,,20981,,20272,,32250,,22953,,50469,,21572,,29448,,48465,,36121,,32359,,16150,,15406,,37768,,19060,,31263,,21757,
Albacore tuna Global,Asia,Purse seines,0,-,0,-,154,,38,,23,,8,,0,-,83,,8,,0,-,0,-,7,,53,,59,,128,,11,,111,,89,,267,,521,,317,,902,,277,,1356,,161,,159,,1109,,669,,1115,,125,,329,,252,,561,,376,,3380,,1533,,1542,,1205,,1208,,2521,,1995,,2652,,4104,,2889,,2026,,1177,,591,,1084,,1563,,6872,,2408,,974,,3303,,627,,7227,,880,,598,,6546,,835,,2088,,320,
Albacore tuna Global,Asia,Trolling lines,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,856,,815,,1585,,1190,,891,,645,,416,,787,,922,,772,,665,,460,,519,,549,,410,,410,
Albacore tuna Global,Europe,Gear not known,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,500,,500,,500,,500,,500,,500,,500,,700,,500,,500,,500,,520,,483,,440,,836,,500,,600,,716,,700,,1766,,2998,,3078,,4134,,6338,,7572,,4441,,5387,,8984,,9659,,9938,,7509,,8039,,8592,,9869,,16267,,11903,,10322,,7195,,7160,,4651,,8412,,6809,,4960,,4500,,4962,,2179,
Albacore tuna Global,Europe,Longlines (nei),0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,40,,130,,150,,0,-,0,-,0,-,0,-,3,,227,,376,,324,,163,,178,,192,,632,,560,,612,,647,,636,,423,,902,,814,,711,,1922,,3946,,3976,,5373,,4916,,3086,,4148,,4515,,6070,,4584,,3856,,2935,
Albacore tuna Global,Europe,Mechanized lines and pole-and-lines,0,-,0,-,0,-,3875,,7250,,3125,,5500,,11959,,17558,,18517,,18139,,21120,,21469,,20739,,20428,,20112,,16757,,18349,,13936,,14569,,14388,,15677,,8196,,8833,,13986,,19687,,20227,,15559,,11958,,15764,,16177,,14312,,16346,,21470,,10240,,14109,,16229,,19655,,17086,,15931,,19439,,9547,,12791,,16360,,13233,,17229,,12037,,10077,,7719,,9108,,11646,,6188,,7101,,8254,,8138,,10459,,14272,,8472,,7926,,4993,,6019,
Albacore tuna Global,Europe,Purse seines,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,200,,0,-,0,-,0,-,0,-,0,-,0,-,47,,112,,41,,172,,457,,1801,,1053,,667,,925,,1088,,454,,1197,,467,,22,,271,,2381,,5134,,2486,,2899,,1248,,1411,,1672,,941,,556,,790,,1026,,600,,1862,,502,,959,,4400,,774,,1369,,496,,335,
